รหัสพัสดุ,รายละเอียดพัสดุ,"หน่วย
นับ",ราคากลาง,ประเภท,ใช้ในงานแก้ไฟ
1000010001,POLE 8 M.,EA,"1,727.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000010002,POLE  9 M.,EA,"2,257.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000010004,POLE 12 M.,EA,"5,548.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000010006,POLE 14 M.,EA,"7,902.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000010008,POLE 16 M.,EA,"11,050.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000010012,POLE 12.2 M.,EA,"8,441.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000010013,POLE 14.3 M.,EA,"13,730.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000010014,POLE 9.30 M.,EA,"3,677.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000010016,POLE 22 M WITH GROUND PLATE 2 SIDES,EA,"28,390.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020001,STUB 0.25X0.25 M. 3.5 M.LONG,EA,"1,294.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020002,STUB 0.25X0.25 M. 4.5 M.LONG,EA,"1,652.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020003,STUB 0.25X0.25 M. 5.5 M.LONG,EA,"2,008.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020102,STUB 0.30X0.30 M. 4.5 M.LONG,EA,"2,631.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020103,STUB 0.30X0.30 M. 5.5 M.LONG,EA,"3,202.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020104,STUB 0.30X0.30 M. 6.5 M.LONG,EA,"3,786.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020201,STUB 0.35X0.35 M. 4.5 M.LONG,EA,"3,344.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020202,STUB 0.35X0.35 M. 5.5 M.LONG,EA,"4,052.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020204,STUB 0.35X0.35 M. 6.5 M.LONG,EA,"4,799.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020300,STUB 0.40X0.40 M. 5.5 M.LONG,EA,"5,058.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020301,STUB 0.40X0.40 M. 6.5 M.LONG,EA,"5,919.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020302,STUB 0.40X0.40 M. 7.5 M.LONG,EA,"6,829.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020400,STUB 0.36X0.36 M. 4.5 M.LONG,EA,"3,859.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020401,STUB 0.36X0.36 M. 5.5 M.LONG,EA,"4,680.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020402,STUB 0.36X0.36 M. 6.5 M.LONG,EA,"5,546.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020500,STUB 0.41X0.41 M. 5.5 M.LONG,EA,"5,714.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020501,STUB 0.41X0.41 M. 6.5 M.LONG,EA,"6,710.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000020502,STUB 0.41X0.41 M. 7.5 M.LONG,EA,"7,661.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030000,PILE 0.44X0.44X8.5 M. 10 T-M. (T1),EA,"7,973.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030001,PILE 0.44X0.44X8.5 M. 10 T-M. (T2),EA,"8,339.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030002,PILE 0.44X0.44X8.5 M. 10 T-M. (T3),EA,"8,488.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030003,PILE 0.44X0.44X8.5 M. 10 T-M. (T4),EA,"8,855.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030004,PILE 0.44X0.44X6.5 M. 10 T-M. (T1),EA,"6,254.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030005,PILE 0.44X0.44X6.5 M. 10 T-M. (T2),EA,"6,620.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030006,PILE 0.44X0.44X6.5 M. 10 T-M. (T3),EA,"6,706.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030007,PILE 0.44X0.44X6.5 M. 10 T-M. (T4),EA,"7,072.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030008,PILE 0.44X0.44X8.5 M. 14 T-M. (T1),EA,"10,190.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030009,PILE 0.44X0.44X8.5 M. 14 T-M. (T2),EA,"10,560.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030010,PILE 0.44X0.44X8.5 M. 14 T-M (T3),EA,"10,710.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030011,PILE 0.44X0.44X8.5 M. 14 T-M. (T4),EA,"11,080.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030100,PILE 0.44X0.44X14 M. 10 T-M. (T1),EA,"12,940.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030101,PILE 0.44X0.44X14 M. 10 T-M. (T2),EA,"13,310.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030102,PILE 0.44X0.44X14 M. 10 T-M. (T3),EA,"13,640.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030103,PILE 0.44X0.44X14 M. 10 T-M. (T4),EA,"14,000.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030104,PILE 0.44X0.44X14 M. 14 T-M. (T1),EA,"16,610.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030105,PILE 0.44X0.44X14 M. 14 T-M. (T2),EA,"16,970.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030106,PILE 0.44X0.44X14 M. 14 T-M. (T3),EA,"17,090.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000030107,PILE 0.44X0.44X14 M. 14 T-M. (T4),EA,"17,670.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000040001,CONC. ANCHOR PLATE 550X550X150 MM.,EA,216,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000040003,CONC. ANCHOR PLATE 600X600X180 MM.,EA,311,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050000,CONC. FOOTING 1.10X2.15X2.30 M.,EA,"17,540.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050003,CONC. FOOTING 1.00X1.00X3.50 M.,EA,"17,590.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050012,CONC. FOOTING 0.90X1.40X3.00 M.,EA,"16,670.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050013,CONC. FOOTING 0.90X2.20X2.30 M. ,EA,"14,050.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050014,CONC. FOOTING 0.90X1.10X3.00 M. ,EA,"14,740.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050015,CONC. FOOTING 0.70X1.20X3.00 M. ,EA,"14,130.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050016,CONC. FOOTING 0.90X2.20X2.40 M. ,EA,"18,510.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050017,CONC. FOOTING 0.70X2.30X2.20 M. ,EA,"14,040.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050100,CONC. FOOTING 0.80X1.30X2.30 M. ,EA,"10,730.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000050101,CONC. FOOTING 0.80X1.60X2.50 M. ,EA,"16,250.00",ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110000,"CROSSARM 100X100X1,500 MM.",EA,268,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110001,"CROSSARM 100X100X2,500 MM.",EA,528,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110002,"CROSSARM 120X120X3,000 MM.",EA,920,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110003,"CROSSARM (FOR D/E) 120X120X2,000 MM.",EA,631,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
1000110004,"CROSSARM (FOR D/E) 120X120X2,500 MM.",EA,936,ผลิตภัณฑ์คอนกรีต,ไม่ใช้
